p,q,r,s,l,p00,p01,p10,p11
0.02,0.01,1.0,1.0,1.0,0.3341604631927213,0.249793217535153,0.249793217535153,0.1662531017369726
0.03,0.01,1.0,1.0,1.0,0.3768564356435644,0.2493811881188118,0.2493811881188118,0.1243811881188118
0.04,0.01,1.0,1.0,1.0,0.4029629629629629,0.2488888888888889,0.2488888888888889,0.0992592592592592
0.05,0.01,1.0,1.0,1.0,0.4207717569786536,0.2483579638752052,0.2483579638752052,0.0825123152709359
0.06,0.01,1.0,1.0,1.0,0.433836433836434,0.2478062478062477,0.2478062478062476,0.0705510705510705
0.07,0.01,1.0,1.0,1.0,0.4439338235294116,0.2472426470588236,0.2472426470588235,0.0615808823529411
0.08,0.01,1.0,1.0,1.0,0.4520510730779679,0.2466720999728334,0.2466720999728334,0.0546047269763651
0.01,0.02,1.0,1.0,1.0,0.1662531017369727,0.249793217535153,0.249793217535153,0.3341604631927211
0.02,0.02,1.0,1.0,1.0,0.2500000000000001,0.25,0.25,0.2499999999999999
0.03,0.02,1.0,1.0,1.0,0.3007407407407408,0.2498765432098765,0.2498765432098765,0.1995061728395061
0.04,0.02,1.0,1.0,1.0,0.3349753694581279,0.2495894909688014,0.2495894909688013,0.1658456486042692
0.05,0.02,1.0,1.0,1.0,0.3597753597753599,0.2492102492102492,0.2492102492102492,0.1418041418041417
0.06,0.02,1.0,1.0,1.0,0.3786764705882352,0.2487745098039216,0.2487745098039216,0.1237745098039215
0.07,0.02,1.0,1.0,1.0,0.3936430317848409,0.2483020918228743,0.2483020918228742,0.1097527845694105
0.08,0.02,1.0,1.0,1.0,0.4058536585365853,0.2478048780487804,0.2478048780487805,0.0985365853658536
0.09,0.02,1.0,1.0,1.0,0.4160583941605838,0.2472904224729042,0.2472904224729042,0.0893607608936075
0.1,0.02,1.0,1.0,1.0,0.4247572815533978,0.2467637540453075,0.2467637540453075,0.081715210355987
0.11,0.02,1.0,1.0,1.0,0.4322965170422796,0.2462283479232631,0.2462283479232632,0.0752467871111939
0.12,0.02,1.0,1.0,1.0,0.4389233954451343,0.2456866804692892,0.2456866804692892,0.0697032436162871
0.13,0.02,1.0,1.0,1.0,0.4448192771084339,0.2451405622489959,0.2451405622489958,0.0648995983935742
0.14,0.02,1.0,1.0,1.0,0.4501201923076921,0.2445913461538462,0.2445913461538462,0.0606971153846154
0.15,0.02,1.0,1.0,1.0,0.4549301735082521,0.2440400620679926,0.2440400620679926,0.0569897023557624
0.16,0.02,1.0,1.0,1.0,0.4593301435406698,0.2434875066454013,0.2434875066454013,0.0536948431685273
0.17,0.02,1.0,1.0,1.0,0.4633839969853033,0.242934304735586,0.242934304735586,0.0507473935435247
0.18,0.02,1.0,1.0,1.0,0.467142857142857,0.2423809523809525,0.2423809523809524,0.048095238095238
0.01,0.03,1.0,1.0,1.0,0.1243811881188117,0.2493811881188119,0.2493811881188118,0.3768564356435644
0.02,0.03,1.0,1.0,1.0,0.1995061728395061,0.2498765432098764,0.2498765432098764,0.3007407407407408
0.03,0.03,1.0,1.0,1.0,0.2499999999999999,0.25,0.25,0.25
0.04,0.03,1.0,1.0,1.0,0.2864162864162863,0.2499122499122499,0.2499122499122499,0.2137592137592137
0.05,0.03,1.0,1.0,1.0,0.3140318627450983,0.2496936274509802,0.2496936274509802,0.1865808823529411
0.06,0.03,1.0,1.0,1.0,0.3357783211083943,0.2493887530562347,0.2493887530562347,0.1654441727791361
0.07,0.03,1.0,1.0,1.0,0.3534146341463414,0.2490243902439025,0.2490243902439024,0.1485365853658536
0.08,0.03,1.0,1.0,1.0,0.3680601636806016,0.2486175624861756,0.2486175624861756,0.134704711347047
0.09,0.03,1.0,1.0,1.0,0.3804611650485437,0.2481796116504854,0.2481796116504854,0.1231796116504854
0.1,0.03,1.0,1.0,1.0,0.391134289439374,0.2477183833116037,0.2477183833116037,0.1134289439374185
0.11,0.03,1.0,1.0,1.0,0.4004485852311937,0.2472394755003451,0.2472394755003451,0.1050724637681159
0.12,0.03,1.0,1.0,1.0,0.4086746987951808,0.2467469879518072,0.2467469879518071,0.0978313253012048
0.13,0.03,1.0,1.0,1.0,0.416015625,0.2462439903846154,0.2462439903846153,0.0914963942307692
