p,q,r,s,l,d,p00,p01,p10,p11
1.0,1.0,1.0,1.0,0.3630780547701014,0.0109647819614318,0.2340555408565902,0.1843638373985185,0.1843638373985184,0.3972167843463729
1.0,1.0,1.0,1.0,0.3630780547701014,0.0120226443461741,0.2412858814775803,0.1900591238151766,0.1900591238151766,0.3785958708920663
1.0,1.0,1.0,1.0,0.3981071705534973,0.0109647819614318,0.2091054544165969,0.1671524298794295,0.1671524298794294,0.4565896858245442
1.0,1.0,1.0,1.0,0.3981071705534973,0.0120226443461741,0.2167551235881581,0.173267338710324,0.1732673387103238,0.436710198991194
1.0,1.0,1.0,1.0,0.3981071705534973,0.013182567385564,0.2242365372852795,0.1792477493213051,0.179247749321305,0.4172679640721105
1.0,1.0,1.0,1.0,0.3981071705534973,0.0144543977074592,0.2315245885620034,0.1850735919966629,0.1850735919966629,0.3983282274446706
1.0,1.0,1.0,1.0,0.3981071705534973,0.0158489319246111,0.2385970419918273,0.1907270924244851,0.1907270924244851,0.3799487731592022
1.0,1.0,1.0,1.0,0.4365158322401661,0.0109647819614318,0.18369027428216,0.1491880871723408,0.1491880871723405,0.5179335513731586
1.0,1.0,1.0,1.0,0.4365158322401661,0.0120226443461741,0.1915174001981188,0.1555450592440642,0.155545059244064,0.4973924813137528
1.0,1.0,1.0,1.0,0.4365158322401661,0.013182567385564,0.1992609176935037,0.1618341269023089,0.1618341269023087,0.4770708285018786
1.0,1.0,1.0,1.0,0.4365158322401661,0.0144543977074592,0.2068899497612225,0.1680302127081972,0.168030212708197,0.4570496248223832
1.0,1.0,1.0,1.0,0.4365158322401661,0.0158489319246111,0.214375477410158,0.1741097482512983,0.1741097482512981,0.4374050260872454
1.0,1.0,1.0,1.0,0.4365158322401661,0.0173780082874937,0.2216907514527739,0.1800510085919678,0.1800510085919676,0.4182072313632906
1.0,1.0,1.0,1.0,0.4365158322401661,0.0190546071796324,0.2288116302029177,0.1858343865300304,0.1858343865300301,0.3995195967370218
1.0,1.0,1.0,1.0,0.4365158322401661,0.0208929613085403,0.2357168358683083,0.1914426008395632,0.1914426008395629,0.3813979624525654
1.0,1.0,1.0,1.0,0.4786300923226382,0.0109647819614318,0.1586083041720037,0.131043771870997,0.1310437718709969,0.5793041520860023
1.0,1.0,1.0,1.0,0.4786300923226382,0.0120226443461741,0.1663466456365222,0.1374372672105384,0.1374372672105384,0.5587788199424008
1.0,1.0,1.0,1.0,0.4786300923226382,0.013182567385564,0.1740931104518263,0.1438374741439818,0.1438374741439818,0.5382319412602101
1.0,1.0,1.0,1.0,0.4786300923226382,0.0144543977074592,0.1818149188510398,0.1502173096991287,0.1502173096991287,0.5177504617507027
1.0,1.0,1.0,1.0,0.4786300923226382,0.0158489319246111,0.1894797067314972,0.156550034329719,0.156550034329719,0.4974202246090647
1.0,1.0,1.0,1.0,0.4786300923226382,0.0173780082874937,0.1970560636734252,0.1628096964318658,0.1628096964318657,0.4773245434628432
1.0,1.0,1.0,1.0,0.4786300923226382,0.0190546071796324,0.2045140373407998,0.1689715490851008,0.1689715490851008,0.4575428644889985
1.0,1.0,1.0,1.0,0.4786300923226382,0.0208929613085403,0.2118255874700904,0.1750124251424291,0.1750124251424291,0.4381495622450513
1.0,1.0,1.0,1.0,0.4786300923226382,0.0229086765276777,0.218964975598837,0.1809110592279899,0.1809110592279898,0.4192129059451832
1.0,1.0,1.0,1.0,0.4786300923226382,0.0251188643150957,0.2259090803060472,0.1866483481918332,0.1866483481918332,0.4007942233102862
1.0,1.0,1.0,1.0,0.4786300923226382,0.0275422870333816,0.2326376317266216,0.1922075448680919,0.1922075448680918,0.3829472785371945
1.0,1.0,1.0,1.0,0.5248074602497725,0.0109647819614318,0.1346390495118378,0.1133125588828093,0.1133125588828093,0.6387358327225434
1.0,1.0,1.0,1.0,0.5248074602497725,0.0120226443461741,0.1420328505612347,0.1195352002325158,0.1195352002325158,0.6188967489737335
1.0,1.0,1.0,1.0,0.5248074602497725,0.013182567385564,0.1495214431461065,0.1258376183742009,0.1258376183742009,0.5988033201054916
1.0,1.0,1.0,1.0,0.5248074602497725,0.0144543977074592,0.1570743964534162,0.1321942026599385,0.1321942026599384,0.5785371982267067
1.0,1.0,1.0,1.0,0.5248074602497725,0.0158489319246111,0.1646602067197835,0.1385784394441262,0.1385784394441262,0.5581829143919641
1.0,1.0,1.0,1.0,0.5248074602497725,0.0173780082874937,0.1722468171178727,0.1449633496211611,0.144963349621161,0.5378264836398052
1.0,1.0,1.0,1.0,0.5248074602497725,0.0190546071796324,0.1798021573073921,0.1513219427129021,0.151321942712902,0.5175539572668038
1.0,1.0,1.0,1.0,0.5248074602497725,0.0208929613085403,0.1872946834687041,0.1576276713623014,0.1576276713623014,0.497449973806693
1.0,1.0,1.0,1.0,0.5248074602497725,0.0229086765276777,0.1946938996076648,0.1638548700648508,0.1638548700648507,0.4775963602626336
1.0,1.0,1.0,1.0,0.5248074602497725,0.0251188643150957,0.2019708420550543,0.16997916292451,0.1699791629245099,0.4580708320959257
1.0,1.0,1.0,1.0,0.5248074602497725,0.0275422870333816,0.2090985112788773,0.1759778270680101,0.17597782706801,0.4389458345851026
1.0,1.0,1.0,1.0,0.5248074602497725,0.0301995172040201,0.216052238185174,0.1818301009245293,0.1818301009245293,0.4202875599657674
1.0,1.0,1.0,1.0,0.5248074602497725,0.0331131121482591,0.2228099757369351,0.187517429652895,0.187517429652895,0.4021551649572747
1.0,1.0,1.0,1.0,0.5754399373371569,0.0109647819614318,0.1124447557361551,0.0965315715556715,0.0965315715556715,0.6944921011525018
1.0,1.0,1.0,1.0,0.5754399373371569,0.0120226443461741,0.1192810137745087,0.1024003622136443,0.1024003622136443,0.6759182617982026
1.0,1.0,1.0,1.0,0.5754399373371569,0.013182567385564,0.1262830491612308,0.1084114694061817,0.1084114694061817,0.6568940120264055
1.0,1.0,1.0,1.0,0.5754399373371569,0.0144543977074592,0.1334262743109497,0.1145437851835076,0.1145437851835075,0.637486155322035
1.0,1.0,1.0,1.0,0.5754399373371569,0.0158489319246111,0.1406838843684209,0.1207742981140512,0.1207742981140511,0.6177675194034766
1.0,1.0,1.0,1.0,0.5754399373371569,0.0173780082874937,0.1480272284641539,0.1270784119999711,0.127078411999971,0.5978159475359038
1.0,1.0,1.0,1.0,0.5754399373371569,0.0190546071796324,0.1554262429414618,0.1334303177939028,0.1334303177939028,0.5777131214707326
1.0,1.0,1.0,1.0,0.5754399373371569,0.0208929613085403,0.1628499333904403,0.1398034074154787,0.1398034074154787,0.5575432517786023
1.0,1.0,1.0,1.0,0.5754399373371569,0.0229086765276777,0.1702668894748963,0.1461707157199399,0.1461707157199399,0.5373916790852236
1.0,1.0,1.0,1.0,0.5754399373371569,0.0251188643150957,0.1776458145751268,0.1525053751858576,0.1525053751858575,0.517343435053158
1.0,1.0,1.0,1.0,0.5754399373371569,0.0275422870333816,0.1849560513701034,0.1587810671169157,0.1587810671169157,0.4974818143960652
1.0,1.0,1.0,1.0,0.5754399373371569,0.0301995172040201,0.1921680847298857,0.1649724533649795,0.1649724533649794,0.4778870085401553
1.0,1.0,1.0,1.0,0.5754399373371569,0.0331131121482591,0.1992540046599874,0.1710555737585652,0.1710555737585651,0.4586348478228823
