Time,State
0,1
1,2
2,1
3,2
4,1
5,2
6,1
7,2
8,1
9,2
10,1
11,2
12,1
13,2
14,1
15,2
16,1
17,2
18,1
19,2
20,1
21,2
22,1
23,0
24,1
25,2
26,1
27,2
28,1
29,2
30,1
31,2
32,1
33,3
34,0
35,2
36,3
37,2
38,1
39,2
40,1
41,2
42,1
43,2
44,1
45,2
46,1
47,2
48,1
49,2
50,1
51,2
52,1
53,2
54,1
55,2
56,1
57,2
58,1
59,2
60,1
61,2
62,1
63,2
64,1
65,0
66,0
67,2
68,1
69,2
70,1
71,2
72,1
73,2
74,1
75,2
76,1
77,2
78,0
79,1
80,2
81,1
82,2
83,0
84,1
85,2
86,1
87,2
88,2
89,1
90,2
91,1
92,2
93,1
94,2
95,1
96,2
97,1
98,2
99,1
100,2
101,1
102,2
103,1
104,2
105,0
106,2
107,1
108,2
109,1
110,2
111,1
112,2
113,1
114,2
115,1
116,2
117,1
118,2
119,1
120,2
121,1
122,2
123,1
124,2
125,1
126,2
127,1
128,2
129,1
130,2
131,3
132,0
133,0
134,1
135,2
136,1
137,2
138,1
139,2
140,1
141,2
142,0
143,1
144,2
145,1
146,2
147,1
148,2
149,1
150,2
151,0
152,0
153,0
154,0
155,0
156,2
157,1
158,2
159,1
160,2
161,1
162,2
163,1
164,2
165,1
166,2
167,1
168,2
169,1
170,2
171,0
172,0
173,1
174,2
175,1
176,2
177,0
178,2
179,1
180,2
181,1
182,2
183,1
184,2
185,1
186,2
187,1
188,2
189,1
190,2
191,1
192,2
193,1
194,2
195,0
196,0
197,2
198,1
199,2
200,1
201,2
202,1
203,2
204,1
205,2
206,3
207,2
208,0
209,0
210,1
211,2
212,1
213,2
214,1
215,2
216,1
217,2
218,1
219,2
220,1
221,2
222,1
223,2
224,1
225,2
226,1
227,2
228,1
229,2
230,1
231,2
232,1
233,2
234,1
235,0
236,0
237,0
238,2
239,1
240,2
241,1
242,2
243,1
244,2
245,0
246,0
247,0
248,0
249,0
250,0
251,3
252,2
253,1
254,2
255,1
256,2
257,1
258,2
259,1
260,2
261,1
262,2
263,1
264,2
265,1
266,2
267,1
268,2
269,1
270,2
271,1
272,0
273,0
274,0
275,0
276,2
277,1
278,2
279,1
280,2
281,1
282,2
283,1
284,2
285,1
286,2
287,2
288,0
289,2
290,1
291,2
292,1
293,2
294,1
295,2
296,1
297,2
298,1
299,2
300,1
301,2
302,1
303,2
304,1
305,2
306,1
307,2
308,1
309,2
310,1
311,2
312,1
313,2
314,1
315,2
316,1
317,2
318,1
319,2
320,1
321,2
322,1
323,2
324,1
325,0
326,3
327,1
328,2
329,1
330,2
331,1
332,2
333,1
334,2
335,1
336,2
337,1
338,2
339,1
340,2
341,1
342,2
343,1
344,2
345,1
346,2
347,1
348,2
349,1
350,2
351,1
352,2
353,1
354,2
355,1
356,2
357,1
358,2
359,1
360,2
361,1
362,2
363,1
364,3
365,2
366,1
367,2
368,0
369,2
370,1
371,2
372,0
373,3
374,0
375,3
376,2
377,1
378,2
379,1
380,2
381,1
382,2
383,1
384,2
385,1
386,2
387,1
388,2
389,1
390,2
391,1
392,2
393,1
394,2
395,1
396,2
397,1
398,2
399,1
400,2
401,1
402,2
403,1
404,3
405,0
406,0
407,0
408,2
409,1
410,2
411,0
412,1
413,2
414,1
415,2
416,1
417,2
418,1
419,2
420,0
421,2
422,1
423,2
424,1
425,2
426,1
427,2
428,1
429,2
430,1
431,2
432,1
433,2
434,1
435,0
436,0
437,0
438,1
439,2
440,1
441,2
442,1
443,2
444,1
445,2
446,1
447,2
448,1
449,2
450,1
451,2
452,3
453,0
454,1
455,0
456,0
457,2
458,1
459,2
460,1
461,2
462,1
463,2
464,1
465,2
466,1
467,2
468,1
469,2
470,1
471,2
472,1
473,2
474,1
475,2
476,1
477,2
478,1
479,2
480,1
481,2
482,1
483,2
484,1
485,2
486,1
487,2
488,1
489,2
490,1
491,2
492,1
493,2
494,1
495,2
496,1
497,2
498,1
499,3
500,0
501,1
502,0
503,0
504,2
505,1
506,2
507,1
508,2
509,1
510,2
511,1
512,2
513,1
514,0
515,2
516,1
517,2
518,1
519,2
520,1
521,2
522,1
523,2
524,1
525,2
526,1
527,2
528,1
529,0
530,0
531,2
532,1
533,2
534,1
535,2
536,1
537,2
538,1
539,2
540,1
541,2
542,1
543,2
544,1
545,2
546,1
547,2
548,1
549,2
550,0
551,2
552,0
553,1
554,2
555,1
556,2
557,1
558,2
559,1
560,2
561,1
562,2
563,1
564,2
565,1
566,2
567,1
568,2
569,1
570,2
571,1
572,2
573,1
574,2
575,1
576,2
577,1
578,2
579,1
580,2
581,1
582,2
583,1
584,2
585,1
586,2
587,0
588,1
589,2
590,1
591,0
592,0
593,0
594,1
595,2
596,1
597,2
598,3
599,1
600,2
601,1
602,2
603,1
604,2
605,1
606,2
607,1
608,2
609,1
610,2
611,1
612,2
613,1
614,0
615,2
616,1
617,2
618,1
619,2
620,1
621,2
622,1
623,2
624,1
625,2
626,1
627,2
628,1
629,2
630,1
631,2
632,1
633,2
634,1
635,2
636,1
637,2
638,1
639,2
640,1
641,2
642,1
643,2
644,1
645,2
646,1
647,2
648,1
649,2
650,1
651,2
652,1
653,2
654,1
655,2
656,1
657,2
658,1
659,2
660,1
661,2
662,1
663,2
664,1
665,2
666,1
667,2
668,1
669,2
670,1
671,2
672,1
673,3
674,1
675,2
676,1
677,2
678,1
679,2
680,1
681,2
682,1
683,2
684,1
685,2
686,1
687,2
688,1
689,3
690,0
691,0
692,1
693,2
694,1
695,2
696,1
697,2
698,1
699,2
700,0
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,2
709,1
710,2
711,1
712,2
713,1
714,2
715,1
716,2
717,1
718,2
719,1
720,2
721,1
722,2
723,1
724,2
725,1
726,2
727,1
728,2
729,1
730,2
731,1
732,2
733,1
734,2
735,1
736,2
737,1
738,2
739,1
740,2
741,1
742,2
743,1
744,2
745,1
746,2
747,1
748,2
749,1
750,2
751,1
752,2
753,1
754,2
755,1
756,2
757,1
758,2
759,1
760,2
761,1
762,2
763,1
764,2
765,1
766,2
767,1
768,2
769,1
770,2
771,1
772,0
773,3
774,2
775,1
776,2
777,1
778,2
779,1
780,2
781,1
782,2
783,1
784,2
785,1
786,2
787,1
788,2
789,1
790,2
791,1
792,2
793,1
794,2
795,1
796,2
797,1
798,2
799,1
800,2
801,1
802,0
803,2
804,1
805,2
806,1
807,2
808,1
809,2
810,1
811,2
812,1
813,0
814,0
815,0
816,1
817,2
818,1
819,0
820,1
821,2
822,1
823,2
824,1
825,2
826,1
827,2
828,1
829,2
830,1
831,2
832,1
833,2
834,1
835,2
836,1
837,2
838,1
839,2
840,1
841,0
842,0
843,0
844,1
845,2
846,1
847,2
848,1
849,2
850,1
851,2
852,1
853,2
854,1
855,2
856,1
857,2
858,1
859,2
860,1
861,0
862,2
863,1
864,2
865,1
866,2
867,1
868,2
869,0
870,1
871,2
872,1
873,2
874,3
875,2
876,1
877,2
878,1
879,2
880,1
881,2
882,1
883,2
884,1
885,3
886,2
887,1
888,2
889,1
890,0
891,0
892,1
893,2
894,1
895,2
896,1
897,2
898,1
899,2
900,1
901,2
902,1
903,2
904,1
905,2
906,1
907,2
908,1
909,2
910,1
911,0
912,3
913,0
914,0
915,3
916,0
917,0
918,2
919,1
920,2
921,1
922,2
923,1
924,0
925,2
926,1
927,2
928,1
929,2
930,1
931,2
932,1
933,0
934,1
935,2
936,1
937,2
938,1
939,2
940,1
941,2
942,1
943,2
944,1
945,2
946,1
947,2
948,1
949,2
950,1
951,2
952,1
953,2
954,1
955,2
956,1
957,2
958,1
959,2
960,1
961,2
962,1
963,2
