p,q,r,s,l,d,p00,p01,p10,p11
0.02,1.0,1.0,0.01,1.0,1.0,0.3809523809523807,0.238095238095238,0.2380952380952383,0.142857142857143
0.03,1.0,1.0,0.01,1.0,1.0,0.4687500000000001,0.2187499999999999,0.2187499999999999,0.0937499999999999
0.04,1.0,1.0,0.01,1.0,1.0,0.5333333333333332,0.2000000000000001,0.1999999999999999,0.0666666666666667
0.05,1.0,1.0,0.01,1.0,1.0,0.5833333333333335,0.1833333333333333,0.1833333333333333,0.05
0.06,1.0,1.0,0.01,1.0,1.0,0.6233766233766235,0.1688311688311687,0.1688311688311688,0.0389610389610389
0.07,1.0,1.0,0.01,1.0,1.0,0.65625,0.15625,0.1562499999999999,0.0312499999999999
0.08,1.0,1.0,0.01,1.0,1.0,0.6837606837606838,0.1452991452991452,0.1452991452991452,0.0256410256410256
0.09,1.0,1.0,0.01,1.0,1.0,0.7071428571428574,0.1357142857142856,0.1357142857142856,0.0214285714285714
0.1,1.0,1.0,0.01,1.0,1.0,0.7272727272727276,0.1272727272727271,0.1272727272727271,0.0181818181818181
0.11,1.0,1.0,0.01,1.0,1.0,0.7447916666666667,0.1197916666666666,0.1197916666666666,0.015625
0.12,1.0,1.0,0.01,1.0,1.0,0.7601809954751131,0.1131221719457013,0.1131221719457013,0.0135746606334841
0.13,1.0,1.0,0.01,1.0,1.0,0.773809523809524,0.107142857142857,0.1071428571428571,0.0119047619047619
0.14,1.0,1.0,0.01,1.0,1.0,0.7859649122807018,0.1017543859649122,0.1017543859649123,0.0105263157894736
0.15,1.0,1.0,0.01,1.0,1.0,0.796875,0.0968749999999999,0.0968749999999999,0.0093749999999999
0.01,1.0,1.0,0.02,1.0,1.0,0.1515151515151514,0.2424242424242424,0.2424242424242424,0.3636363636363636
0.02,1.0,1.0,0.02,1.0,1.0,0.2499999999999999,0.25,0.2500000000000001,0.2499999999999999
0.03,1.0,1.0,0.02,1.0,1.0,0.3230769230769232,0.246153846153846,0.2461538461538461,0.1846153846153845
0.04,1.0,1.0,0.02,1.0,1.0,0.3809523809523807,0.238095238095238,0.2380952380952383,0.142857142857143
0.05,1.0,1.0,0.02,1.0,1.0,0.4285714285714286,0.2285714285714286,0.2285714285714285,0.1142857142857142
0.06,1.0,1.0,0.02,1.0,1.0,0.4687500000000001,0.2187499999999999,0.2187499999999999,0.0937499999999999
0.07,1.0,1.0,0.02,1.0,1.0,0.5032679738562092,0.2091503267973855,0.2091503267973856,0.0784313725490196
0.08,1.0,1.0,0.02,1.0,1.0,0.5333333333333332,0.2000000000000001,0.1999999999999999,0.0666666666666667
0.09,1.0,1.0,0.02,1.0,1.0,0.5598086124401915,0.1913875598086122,0.1913875598086124,0.0574162679425837
0.1,1.0,1.0,0.02,1.0,1.0,0.5833333333333335,0.1833333333333333,0.1833333333333333,0.05
0.11,1.0,1.0,0.02,1.0,1.0,0.6043956043956044,0.1758241758241758,0.1758241758241758,0.0439560439560439
0.12,1.0,1.0,0.02,1.0,1.0,0.6233766233766235,0.1688311688311687,0.1688311688311688,0.0389610389610389
0.13,1.0,1.0,0.02,1.0,1.0,0.6405797101449274,0.1623188405797102,0.1623188405797102,0.0347826086956521
0.14,1.0,1.0,0.02,1.0,1.0,0.65625,0.15625,0.1562499999999999,0.0312499999999999
0.15,1.0,1.0,0.02,1.0,1.0,0.6705882352941176,0.1505882352941177,0.1505882352941177,0.028235294117647
0.16,1.0,1.0,0.02,1.0,1.0,0.6837606837606838,0.1452991452991452,0.1452991452991452,0.0256410256410256
0.17,1.0,1.0,0.02,1.0,1.0,0.6959064327485381,0.1403508771929823,0.1403508771929824,0.023391812865497
0.18,1.0,1.0,0.02,1.0,1.0,0.7071428571428574,0.1357142857142856,0.1357142857142856,0.0214285714285714
0.19,1.0,1.0,0.02,1.0,1.0,0.7175697865353038,0.1313628899835796,0.1313628899835796,0.0197044334975369
0.2,1.0,1.0,0.02,1.0,1.0,0.7272727272727276,0.1272727272727271,0.1272727272727271,0.0181818181818181
0.21,1.0,1.0,0.02,1.0,1.0,0.7363253856942498,0.1234221598877979,0.123422159887798,0.0168302945301542
