p,q,r,s,l,p00,p01,p10,p11
1.0,1.0,1.0,0.01,47.86300923226385,0.7795163378158549,0.0190170357391011,0.0190170357391013,0.1824495907059427
1.0,1.0,1.0,0.01,52.480746024977286,0.7518341654040097,0.0186820395190349,0.0186820395190346,0.2108017555579207
1.0,1.0,1.0,0.01,57.54399373371572,0.7211487213663477,0.0182774895106376,0.0182774895106376,0.242296299612377
1.0,1.0,1.0,0.01,63.09573444801936,0.6875168447162026,0.0177992614499273,0.0177992614499273,0.2768846323839427
1.0,1.0,1.0,0.01,69.18309709189363,0.6511124216765997,0.0172453260115271,0.0172453260115272,0.3143969263003459
1.0,1.0,1.0,0.01,75.85775750291836,0.6122376565499432,0.0166162870945261,0.0166162870945261,0.3545297692610046
1.0,1.0,1.0,0.01,83.17637711026708,0.5713240720135146,0.0159157734477685,0.0159157734477686,0.3968443810909481
1.0,1.0,1.0,0.01,91.20108393559096,0.5289207815139249,0.0151505955959635,0.0151505955959637,0.440778027294148
1.0,1.0,1.0,0.01,100.0,0.4856693963054576,0.0143306036945346,0.0143306036945342,0.4856693963054735
1.0,1.0,1.0,0.02,20.892961308540407,0.7824703354323845,0.0366695987396926,0.0366695987396928,0.1441904670882302
1.0,1.0,1.0,0.02,22.908676527677724,0.7604280012626523,0.0362259235797933,0.0362259235797935,0.1671201515777608
1.0,1.0,1.0,0.02,25.118864315095795,0.7356949335084126,0.0356728217979435,0.0356728217979435,0.1929594228957003
1.0,1.0,1.0,0.02,27.542287033381665,0.7081893187995849,0.0349989522072706,0.0349989522072706,0.2218127767858737
1.0,1.0,1.0,0.02,30.19951720402016,0.6779070999496875,0.0341949574096797,0.0341949574096795,0.2537029852309532
1.0,1.0,1.0,0.02,33.11311214825911,0.644940424005264,0.0332545049648456,0.0332545049648458,0.2885505660650447
1.0,1.0,1.0,0.02,36.30780547701014,0.6094920534273551,0.0321753234570503,0.0321753234570503,0.3261572996585442
1.0,1.0,1.0,0.02,39.81071705534973,0.5718826273657476,0.0309600933605799,0.0309600933605799,0.3661971859130926
1.0,1.0,1.0,0.02,43.65158322401661,0.5325479713761041,0.0296170346798507,0.0296170346798506,0.4082179592641944
1.0,1.0,1.0,0.02,47.86300923226385,0.4920247265918198,0.0281600466809453,0.0281600466809455,0.4516551800462893
1.0,1.0,1.0,0.02,52.480746024977286,0.450924341269397,0.0266083061510374,0.0266083061510377,0.4958590464285278
1.0,1.0,1.0,0.02,57.54399373371572,0.409897604741372,0.024985314601146,0.024985314601146,0.540131766056336
1.0,1.0,1.0,0.02,63.09573444801936,0.3695938562767547,0.02331748377286,0.0233174837728608,0.5837711761775245
1.0,1.0,1.0,0.02,69.18309709189363,0.3306201838711951,0.0216324363138373,0.0216324363138373,0.6261149435011302
1.0,1.0,1.0,0.02,75.85775750291836,0.2935059554972972,0.0199572491745494,0.0199572491745492,0.6665795461536042
1.0,1.0,1.0,0.02,83.17637711026708,0.2586768834958478,0.01831686706822,0.0183168670682199,0.7046893823677121
1.0,1.0,1.0,0.02,91.20108393559096,0.2264408760701967,0.0167328649857811,0.0167328649857818,0.7400933939582403
1.0,1.0,1.0,0.02,100.0,0.1969857618903299,0.0152226598000604,0.0152226598000603,0.7725689185095491
1.0,1.0,1.0,0.03,19.054607179632484,0.6718950495917709,0.0494305166674135,0.0494305166674133,0.2292439170734023
1.0,1.0,1.0,0.03,20.892961308540407,0.6423161267921135,0.0482561499746126,0.0482561499746127,0.2611715732586611
1.0,1.0,1.0,0.03,22.908676527677724,0.6102745347624061,0.0468924902309235,0.0468924902309235,0.2959404847757469
1.0,1.0,1.0,0.03,25.118864315095795,0.5759846003671864,0.0453376692281544,0.0453376692281544,0.3333400611765047
1.0,1.0,1.0,0.03,27.542287033381665,0.5397685505337598,0.0435966811602037,0.0435966811602037,0.3730380871458326
1.0,1.0,1.0,0.03,30.19951720402016,0.5020519302602542,0.041682077356523,0.0416820773565228,0.4145839150266999
1.0,1.0,1.0,0.03,33.11311214825911,0.4633484395719655,0.0396140427268103,0.0396140427268102,0.4574234749744138
1.0,1.0,1.0,0.03,36.30780547701014,0.4242345683608738,0.037419746233745,0.0374197462337448,0.5009259391716363
1.0,1.0,1.0,0.03,39.81071705534973,0.3853162924023118,0.0351319712617409,0.0351319712617411,0.5444197650742061
1.0,1.0,1.0,0.03,43.65158322401661,0.3471917294300886,0.0327871600782444,0.0327871600782443,0.5872339504134224
1.0,1.0,1.0,0.03,47.86300923226385,0.3104145512084061,0.0304231155112424,0.0304231155112424,0.6287392177691091
1.0,1.0,1.0,0.03,52.480746024977286,0.2754628152721593,0.0280766614128905,0.0280766614128902,0.6683838619020599
1.0,1.0,1.0,0.03,57.54399373371572,0.2427167545576378,0.0257815558634741,0.0257815558634742,0.7057201337154136
1.0,1.0,1.0,0.03,63.09573444801936,0.2124472935794097,0.0235668832094299,0.0235668832094299,0.7404189400017304
1.0,1.0,1.0,0.03,69.18309709189363,0.1848151593403108,0.0214560465691869,0.0214560465691869,0.7722727475213153
1.0,1.0,1.0,0.04,27.542287033381665,0.4102572261242142,0.0476664804907797,0.0476664804907799,0.494409812894226
1.0,1.0,1.0,0.04,30.19951720402016,0.3731077802691931,0.0448168219273993,0.0448168219273998,0.5372585758760077
1.0,1.0,1.0,0.04,33.11311214825911,0.3366650146867044,0.041890446947837,0.041890446947837,0.5795540914176215
1.0,1.0,1.0,0.04,36.30780547701014,0.3014508937920899,0.0389334556154885,0.0389334556154887,0.6206821949769329
1.0,1.0,1.0,0.04,39.81071705534973,0.2679205495628906,0.035991208904836,0.0359912089048367,0.6600970326274366
1.0,1.0,1.0,0.04,43.65158322401661,0.2364407647581499,0.0331057584660591,0.0331057584660593,0.6973477183097315
1.0,1.0,1.0,0.04,47.86300923226385,0.2072780543825902,0.0303138050356093,0.0303138050356095,0.732094335546191
1.0,1.0,1.0,0.04,52.480746024977286,0.1805964749621665,0.0276453520097131,0.0276453520097131,0.7641128210184072
1.0,1.0,1.0,0.04,57.54399373371572,0.1564638362085794,0.0251230912085462,0.0251230912085463,0.7932899813743279
1.0,1.0,1.0,0.05,27.542287033381665,0.316640486504652,0.0492137485541755,0.0492137485541754,0.584932016386997
1.0,1.0,1.0,0.05,30.19951720402016,0.2832717603843998,0.0457342688818649,0.045734268881865,0.6252597018518703
1.0,1.0,1.0,0.05,33.11311214825911,0.251578692701991,0.0422795461821661,0.042279546182166,0.6638622149336767
1.0,1.0,1.0,0.05,36.30780547701014,0.221888136568607,0.0388972446700732,0.038897244670073,0.7003173740912466
1.0,1.0,1.0,0.05,39.81071705534973,0.1944327801337007,0.0356286902078674,0.035628690207867,0.7343098394505648
1.0,1.0,1.0,0.05,43.65158322401661,0.1693504780740827,0.0325074514483345,0.0325074514483341,0.7656346190292485
1.0,1.0,1.0,0.05,47.86300923226385,0.1466909861620448,0.0295587357315366,0.0295587357315366,0.7941915423748818
1.0,1.0,1.0,0.06,27.542287033381665,0.2495841631862311,0.0494797345595227,0.0494797345595227,0.6514563676947236
1.0,1.0,1.0,0.06,30.19951720402016,0.2206376705020052,0.0456195800358643,0.0456195800358643,0.6881231694262661
1.0,1.0,1.0,0.06,33.11311214825911,0.193772570347626,0.0418737771149925,0.0418737771149925,0.7224798754223889
1.0,1.0,1.0,0.06,36.30780547701014,0.1691415521584557,0.0382823662447854,0.0382823662447855,0.7542937153519733
1.0,1.0,1.0,0.06,39.81071705534973,0.1468126814288771,0.0348763195607129,0.034876319560713,0.7834346794496968
1.0,1.0,1.0,0.07,27.542287033381665,0.2009845083333639,0.0491282758709314,0.0491282758709313,0.7007589399247732
1.0,1.0,1.0,0.07,30.19951720402016,0.1761286078191144,0.045055576898036,0.045055576898036,0.7337602383848134
1.0,1.0,1.0,0.07,33.11311214825911,0.1534438729093076,0.0411659862240311,0.0411659862240311,0.7642241546426302
1.0,1.0,1.0,0.07,36.30780547701014,0.132962615795358,0.0374892382739173,0.037489238273917,0.7920589076568076
1.0,1.0,1.0,0.08,27.542287033381665,0.1650820117272582,0.0484985923508856,0.0484985923508855,0.7379208035709706
1.0,1.0,1.0,0.08,30.19951720402016,0.1437236068651796,0.0443193268402933,0.0443193268402934,0.7676377394542336
1.0,1.0,1.0,0.08,33.11311214825911,0.1244723461242267,0.0403728271923091,0.040372827192309,0.7947819994911551
1.0,1.0,1.0,0.09,27.542287033381665,0.1380027543459608,0.04776172124601,0.0477617212460099,0.7664738031620193
1.0,1.0,1.0,0.09,30.19951720402016,0.119549387182568,0.0435409000135815,0.0435409000135814,0.7933688127902689
1.0,1.0,1.0,0.1,27.542287033381665,0.1171632862987406,0.0470030898618825,0.0470030898618825,0.7888305339774943
