p,q,r,s,l,d,p00,p01,p10,p11
0.01,1.0,1.0,1.0,1.0,0.1737800828749375,0.0020479903493126,0.1039278684725821,0.1039278684725821,0.7900962727055231
0.01,1.0,1.0,1.0,1.0,0.1905460717963247,0.0021593922394415,0.1095810987179265,0.1095810987179265,0.7786784103247054
0.01,1.0,1.0,1.0,1.0,0.2089296130854039,0.0022721104519722,0.1153011274135193,0.1153011274135193,0.767125634720989
0.01,1.0,1.0,1.0,1.0,0.2290867652767773,0.0023856835281307,0.1210645372484252,0.1210645372484252,0.7554852419750189
0.01,1.0,1.0,1.0,1.0,0.251188643150958,0.0024996357167904,0.1268471856281721,0.1268471856281721,0.7438059930268651
0.01,1.0,1.0,1.0,1.0,0.2754228703338166,0.00261348487671,0.1326246056837929,0.1326246056837929,0.7321373037557042
0.01,1.0,1.0,1.0,1.0,0.3019951720402016,0.0027267506063931,0.1383724188318924,0.1383724188318924,0.720528411729822
0.02,1.0,1.0,1.0,1.0,0.1584893192461113,0.003873451856211,0.0997126220410765,0.0997126220410765,0.796701304061636
0.02,1.0,1.0,1.0,1.0,0.1737800828749375,0.0040912223603188,0.1053185954141477,0.1053185954141477,0.7852715868113858
0.02,1.0,1.0,1.0,1.0,0.1905460717963247,0.0043123349012686,0.1110106014187972,0.1110106014187972,0.7736664622611369
0.02,1.0,1.0,1.0,1.0,0.2089296130854039,0.004535910697826,0.1167660179638397,0.1167660179638397,0.7619320533744943
0.02,1.0,1.0,1.0,1.0,0.2290867652767773,0.0047610302663697,0.1225611751738747,0.1225611751738747,0.7501166193858809
0.02,1.0,1.0,1.0,1.0,0.251188643150958,0.004986748268515,0.1283717376053373,0.1283717376053373,0.7382697765208103
0.02,1.0,1.0,1.0,1.0,0.2754228703338166,0.0052121092717911,0.134173109966902,0.134173109966902,0.7264416707944047
0.02,1.0,1.0,1.0,1.0,0.3019951720402016,0.0054361638702273,0.1399408521048624,0.1399408521048624,0.7146821319200479
0.02,1.0,1.0,1.0,1.0,0.3311311214825911,0.0056579845898298,0.1456510884510666,0.1456510884510666,0.7030398385080369
0.02,1.0,1.0,1.0,1.0,0.3630780547701014,0.0058766810170246,0.1512808974679605,0.1512808974679605,0.6915615240470542
0.02,1.0,1.0,1.0,1.0,0.3981071705534973,0.0060914136349814,0.1568086678312059,0.1568086678312059,0.6802912507026067
0.03,1.0,1.0,1.0,1.0,0.1584893192461113,0.005805267066395,0.1010440573132792,0.1010440573132792,0.7921066183070465
0.03,1.0,1.0,1.0,1.0,0.1737800828749375,0.0061296592796411,0.1066902928804535,0.1066902928804535,0.7804897549594517
0.03,1.0,1.0,1.0,1.0,0.1905460717963247,0.0064588147245478,0.1124194352712761,0.1124194352712761,0.7687023147329
0.03,1.0,1.0,1.0,1.0,0.2089296130854039,0.0067914169116318,0.1182085702188786,0.1182085702188786,0.7567914426506108
0.03,1.0,1.0,1.0,1.0,0.2290867652767773,0.0071260922524204,0.1240337896152004,0.1240337896152004,0.7448063285171788
0.03,1.0,1.0,1.0,1.0,0.251188643150958,0.0074614323838811,0.1298705800806893,0.1298705800806893,0.7327974074547403
0.03,1.0,1.0,1.0,1.0,0.2754228703338166,0.0077960177234747,0.1356942329537475,0.1356942329537475,0.7208155163690302
0.03,1.0,1.0,1.0,1.0,0.3019951720402016,0.0081284414245407,0.1414802612481648,0.1414802612481648,0.7089110360791296
0.03,1.0,1.0,1.0,1.0,0.3311311214825911,0.0084573328773669,0.1472048087029379,0.1472048087029379,0.6971330497167574
0.03,1.0,1.0,1.0,1.0,0.3630780547701014,0.0087813799289242,0.1528450365297154,0.1528450365297154,0.685528547011645
